#Table1
type,ra,dec,psfMag_r,psfMagErr_r,extinction_r,clean
6,184.034587938086,32.0096951475882,19.72182,0.02125729,0.03705134,1
6,184.035868571215,31.9172737481536,20.65796,0.03353367,0.03161259,1
6,184.036398701454,32.024770354467,21.96746,0.08852876,0.03719911,1
6,184.149864843415,31.8958278512349,22.41595,0.1335467,0.03480506,1
6,184.151368319031,31.9382761686335,20.68716,0.03455094,0.03545346,1
6,184.035273548762,31.7601870068151,16.7627,0.02446713,0.03760987,1
6,183.916653257247,31.7778623738707,19.29315,0.02686488,0.03501918,1
6,183.916174336941,31.8293842902766,21.69517,0.08483864,0.03149179,1
6,183.916748600599,31.80560191894,22.37605,0.1859668,0.03302728,1
6,183.917958796407,31.8020726352392,22.17942,0.1251858,0.03327346,1
6,183.802662580034,32.2100959673871,22.30255,0.1378745,0.02783047,1
6,183.804657964182,32.170280777732,22.08085,0.1130412,0.02911967,1
6,184.035441507252,32.2153352584047,14.85679,0.01417326,0.03434942,1
6,183.915978008715,32.0818672204131,18.76586,0.01634963,0.03136427,1
6,183.916068206139,32.0904409438353,22.1452,0.118096,0.03182888,1
6,184.03492104821,32.1434611623494,21.087,0.06009863,0.03329685,1
6,183.91841237843,32.1810629873746,22.74627,0.2013595,0.03364355,1
6,184.152666104115,32.0997234716244,13.65666,0.01447839,0.03073072,1
6,184.151111530176,32.1445120228231,21.96813,0.1023554,0.03076021,1
6,184.150597664522,32.1792130628176,22.69254,0.1916868,0.03166189,1
6,184.153021976735,31.8975216136652,22.80201,0.1853606,0.03492302,1
6,184.152797390541,31.9458949346823,22.92741,0.2047031,0.03566433,1
6,184.152832702245,32.0308108219102,22.91008,0.1984433,0.0324556,1
6,184.152982704015,32.1037166167835,21.71989,0.08665827,0.03066967,1
6,183.940360520035,31.9487282723694,17.52158,0.01089673,0.03053965,1
6,183.939406606022,31.9201529435692,21.63807,0.06664792,0.03004445,1
6,183.940598427644,31.9990559643795,19.89018,0.0196566,0.03164579,1
6,183.938265753528,31.8888127889478,22.85206,0.185895,0.02973784,1
6,183.939808933752,31.9963344992148,22.94536,0.2032751,0.03157823,1
6,184.182053473496,32.0036386162702,17.02935,0.01551174,0.03341632,1
